sector,n,mape_pct
software,900.0,109.35569142339125
biotech,748.0,114.71693101786336
web,492.0,89.07499144735812
enterprise,417.0,93.35710718819315
mobile,370.0,109.53881456730879
advertising,293.0,77.33007005225572
cleantech,279.0,91.60324301941176
games_video,260.0,105.35242230238195
hardware,227.0,156.67867351998834
ecommerce,218.0,102.6942273774025
medical,167.0,73.78582279742062
semiconductor,150.0,177.84327930990668
analytics,146.0,67.29415522607584
network_hosting,109.0,131.70749372351028
other,105.0,128.88258048930007
social,100.0,73.21694749501151
security,95.0,133.59389665350548
finance,92.0,74.8987485187503
public_relations,76.0,199.46262432576074
search,71.0,92.55912672448157
health,70.0,114.2111492098378
education,63.0,67.858294510434
manufacturing,60.0,94.62157922501791
news,50.0,124.24203132038659
consulting,49.0,230.20574494749383
music,41.0,67.45963879016954
messaging,41.0,87.50547749897208
travel,34.0,72.60726446937085
fashion,30.0,138.83636760367887
hospitality,23.0,50.14241068556519
photo_video,21.0,65.20795594443126
nanotech,17.0,129.39687485681216
real_estate,16.0,77.6419636291715
transportation,15.0,374.43671541383867
automotive,13.0,56.665420250132506
legal,12.0,232.62927251570935
sports,11.0,132.81763490809072
nonprofit,11.0,59.22036306437727
pets,4.0,56.74897999164599
design,3.0,
local,2.0,
