signals,n_signals,auc_mean,auc_std
survival,1,0.7408830891958995,0.004626722217075896
survival + anomaly,2,0.6885582616931307,0.00622959667238264
anomaly,1,0.6084079254952744,0.006586902671587117
survival + cash-flow + anomaly,3,0.6057379836776563,0.008388541946259785
cash-flow + anomaly,2,0.5901092380207297,0.008160034653020874
survival + cash-flow + anomaly + distress-language,4,0.5810965830943369,0.008879202919105307
survival + anomaly + distress-language,3,0.5807174421369287,0.009091414363388726
cash-flow + anomaly + distress-language,3,0.5806559454034399,0.00886276022967974
anomaly + distress-language,2,0.5802955983704047,0.009073737207916809
survival + cash-flow + distress-language,3,0.573519482840208,0.008796535954448981
cash-flow + distress-language,2,0.5729832699503083,0.00878040712085046
survival + distress-language,2,0.5729695392968454,0.00906923504216669
distress-language,1,0.5724242581106924,0.0090363244923916
survival + cash-flow,2,0.5494290769972554,0.006900751000001009
cash-flow,1,0.50531971625571,0.006215685456300147
